mz	rt	intensity
247.082891	6.068833351	1721
248.0966048	4.840950012	2132
249.0629388	4.65538311	1205
250.0724072	5.711933136	10741
251.0753446	5.697649956	1436.374634
253.1188011	5.326433182	5121
253.2175444	20.9454174	2344.385986
253.2176966	20.64558411	5406.399902
253.21793	20.55993271	48561.32031
254.2208823	20.68840027	1265
254.2211596	20.55993271	9206.474609
254.6234998	14.7062664	2486
254.9823437	1.128866673	4061
255.1354579	7.739166737	5543
255.2325818	20.84550095	1202.39978
255.2332428	21.2166996	241789.75
255.2334053	21.84493256	3516.910645
255.2334872	21.31661606	36036.8125
255.2336161	21.61646652	9217.795898
255.6312148	15.86273289	3760
256.1325654	15.87701702	1713
256.1383958	7.724883556	1026
256.23596	21.84493256	1129.332764
256.2366236	21.2166996	47231.84375
256.2368144	21.31661606	8672
257.0124986	5.740483284	1266
257.0125034	6.839683533	1110.822998
257.0128157	6.69693327	1774
257.1512503	8.96693325	2148.521484
257.239811	21.18815041	2588.527588
258.0079332	3.89868331	1085
258.991752	5.826116562	3082
258.9923585	1.685616612	2796
259.0282403	10.13763332	1279
260.0239075	1.714266658	17000
261.0072403	5.512000084	1776
261.0082793	1.699983358	2211
261.0258956	1.699983358	1185.536621
263.0233253	2.299583435	1228
263.1039846	5.269249916	211715
263.104445	5.369249821	27761
263.6285537	15.06321621	1187.796753
264.0883789	7.767716885	2627
264.0885283	2.870699883	1541
264.1071301	5.269249916	33460
265.1102506	5.254966736	4259
265.1201099	7.682066441	16151.40039
265.148033	18.38978386	37143
265.148303	18.5326004	1376
266.0861476	9.852083206	1084
266.1232629	7.710616589	2631
266.1512912	18.38978386	6187
267.1087588	1.814183354	9165
267.1243627	13.50704956	4688.306641
267.1449404	18.40406609	1607
267.2327501	21.18815041	1844.553711
267.233203	21.35943413	1328.997437
267.2333382	21.08821678	8867.600586
268.2363976	21.08821678	2337.245117
268.8003395	1.185950041	1296
269.0667703	3.44175005	1163
269.0778812	3.613116741	1074
269.1510794	9.823533058	12282.45117
269.2484432	21.34516716	1404
269.2488282	21.53081703	23851.25391
269.2489809	21.64500046	25148.60742
269.2492884	21.75919914	3886.109375
270.0618567	1.771366715	4417
270.1540894	9.823533058	2521.962891
270.251929	21.53081703	4385
270.2520152	21.65928268	5276.575684
271.2281682	19.84606743	1127.644287
272.165231	16.6052494	8968
272.1687015	16.83363342	1202
273.0074406	2.085483313	3824
273.0075057	9.138233185	1411.421875
273.0079229	6.839683533	20555.11523
273.0436874	8.752750397	1053.800049
273.1683561	16.6052494	1351
273.1708818	9.951983452	1457.008423
273.1708965	11.59391689	1307.400024
273.1709781	9.552249908	1129.957764
274.0104717	6.825399876	10145
274.0393235	4.755300045	1682
275.0224635	2.213933229	1017
275.0553226	4.327000141	1023
276.054721	2.942066669	1040.887939
276.9916699	1.21449995	1562
277.0024729	3.484566689	1372
279.0986542	3.284733295	5778.431152
279.0987467	3.812949896	3025
279.1354739	9.16676712	9306.928711
279.2327292	21.38798332	1337.060913
279.2330823	21.18815041	1724.717773
279.2331495	20.87405014	17916.01172
279.2332609	21.04533386	8410.503906
279.6142562	14.67773342	1723
280.1033209	1.285866618	1926
280.1385908	9.16676712	1421
280.2359076	20.87405014	12201.59961
280.2363546	21.05960083	2178
280.6221876	15.80563354	2602
281.0888708	4.141333103	1000.787598
281.1145348	7.45359993	4770.44043
281.2488959	21.55936623	28626.86914
281.2490703	21.73064995	6262.249512
281.2490977	21.45935059	121611.4219
282.0477788	3.641666651	1112
282.251784	21.67354965	2021.378662
282.2522767	21.55936623	4920.903809
282.2522883	21.47371674	27097
282.7772675	1.171683311	1391.150879
283.0287588	8.852733612	1503.644165
283.0826469	5.497716904	39460
283.1191836	6.197299957	1570.848022
283.1555714	7.496433258	1336.660034
283.1670846	12.09358311	2233
283.2625945	21.57363319	1859.742798
283.2629347	21.45935059	3302.920166
283.2641332	22.47306633	5264.248535
283.2645047	22.63014984	3341.636963
283.2645533	22.07329941	240433.9531
283.26487	22.21615028	20116.28516
283.2655633	21.03104973	1284.379028
284.0782034	2.91351676	2119.197754
284.0857748	5.512000084	7591.088867
284.0889398	4.65538311	3094
284.2665046	22.64443398	1066.61499
284.2668706	22.53014946	1611.786377
284.2676029	22.17323303	8191.388672
284.2677232	22.07329941	72035.70313
284.2680772	22.31606674	2954.39502
284.7737542	1.171683311	2102
285.0617615	3.44175005	1970
285.0618172	1.514333367	2809
285.0870524	5.497716904	1148
285.270548	22.07329941	5345
286.7709504	1.185950041	1058
287.0235243	6.083099842	30623
288.0257209	6.083099842	16675
288.0880118	11.03706646	2289
288.9871986	1.028933287	1146
288.9891573	1.114583373	4747
289.02074	6.083099842	1630
289.0868668	18.06143379	1180
291.0068086	1.21449995	2499
291.9600789	4.983766556	2420
292.9074115	1.128866673	6314
292.9646609	1.228783369	1588
293.0152445	5.497716904	1033
293.0547569	4.241266727	1406
293.1760108	15.00613308	1386.302856
293.1761797	14.92048359	19509
293.1795592	19.68906593	1203.054199
293.1797748	19.61759949	17870.82617
294.1796498	14.92048359	7020
294.1826766	19.61759949	4293
295.0827605	6.768300056	3548
295.1299327	6.668399811	1710
295.1301039	6.354300022	21657.75977
295.1304585	6.982500076	2767.052002
295.2642986	21.88775063	2136.199951
296.1002685	4.255616665	4180
296.1331611	6.354300022	3615
296.1349397	1.271600008	2092
297.0980657	7.967533112	2341.580322
297.1116715	17.76168251	2854.770508
297.1120208	17.47613335	10753.2002
297.1532357	18.5897007	2037.334717
297.2434992	19.1750164	1025.400024
297.2799417	22.57304955	4759.258789
297.280194	22.40169907	1381.799683
297.9789286	1.714266658	2293
298.1148999	17.60460091	1367
298.1149455	17.49041748	2805.814941
298.1228415	1.271600008	1477
298.2828839	22.58733368	1344
299.0774849	5.397799969	2662.863037
299.259384	20.77413368	1131.541138
299.25953	19.44631577	3376
299.6387457	13.15011692	2067
300.0388864	1.271600008	1861
300.0723351	1.500066638	1141
300.0726031	3.227633238	2003
300.1285355	1.257316709	2226
300.748203	1.185950041	1666
301.0566722	2.342400074	6686.473633
301.0932391	3.870049953	1193
301.113162	1.257316709	2450
301.2389158	21.18815041	3091
302.0594637	2.342400074	1163.911133
302.1147913	6.083099842	17309
302.7449422	1.171683311	1136
303.0719996	2.528049946	1032.356445
303.0724609	2.92779994	22795.85938
303.1177565	6.083099842	2818
