mz	rt	intensity
231.16956	1.6	2508
231.18899	2.6	1737
231.20622	2.7	12881
232.15391	4.7	3260
232.15414	4.5	27836
232.15445	4.5	249501
232.20961	2.7	1672
232.92818	1.1	3634
233.15753	4.5	20534
233.99281	5.8	1083
234.01532	4.8	2837
234.01643	7.8	1530
234.15857	4.5	2863
234.96107	1.1	3938
235.02033	1.2	1763
235.11868	2.6	8075
235.96163	1.1	1404
237.12224	5.4	5711
238.15526	3.0	14275
239.03034	4.7	1736
239.07870	3.8	5716
239.10023	3.2	1888
239.13881	10.1	3478
239.13902	10.5	5794
239.15783	3.0	2834
240.00163	6.9	1710
240.10855	2.8	2491
241.08332	10.0	6085
241.12938	1.2	21584
241.15377	2.1	2180
241.15454	2.9	7658
241.15463	2.7	22614
241.15509	3.0	3152
241.15517	2.1	1621
241.21404	21.1	5389
241.99778	4.4	1508
242.01431	1.5	3771
242.09902	5.0	2181
242.12356	1.3	3063
242.15765	2.7	2951
242.15767	2.5	1839
242.15828	2.4	1778
242.92497	1.1	1954
243.05243	5.7	3715
243.13272	8.4	2940
243.13329	7.8	4055
243.13337	7.4	8574
244.00384	7.4	5145
244.11078	1.5	2284
244.13524	7.4	1411
244.15446	6.0	44539
244.95161	2.8	1427
245.07662	1.8	17882
245.09191	10.1	7979
245.09525	4.2	2820
245.14970	8.9	4418
245.15768	6.0	6866
245.16043	2.8	1679
245.16081	2.9	5065
245.95658	4.4	12531
246.16855	6.2	1467
246.16995	6.7	9963
246.16997	6.5	42362
246.95821	4.4	1453
246.96766	4.0	1206
247.05691	4.7	2583
247.05716	2.7	1443
247.05762	2.8	4278
247.05872	3.9	1793
247.09186	1.8	2465
247.10614	9.9	2700
247.10796	7.1	14615
247.12778	5.8	2961
247.12821	4.2	3289
247.14333	5.9	4881
247.17251	6.7	1606
247.17320	6.4	4860
247.95445	4.4	1656
248.06837	5.3	1148
248.09145	7.1	34316
248.09414	5.5	3099
248.11226	1.5	1575
248.14903	2.6	2081
248.14919	2.3	3088
248.16703	15.3	6570
248.88382	1.1	1489
248.95854	7.4	1239
249.07434	8.4	4082
249.09577	10.0	3715
249.09626	9.6	2338
250.05752	1.6	2606
250.91724	4.9	2005
250.93828	1.1	2346
251.05362	5.0	1372
251.12667	18.2	4393
253.14192	12.8	2410
254.13855	3.7	1218
254.14937	3.4	3531
254.16059	3.7	9107
254.81504	1.2	1114
255.07372	3.7	4487
255.07410	3.2	13306
255.09802	4.6	1767
255.13300	5.9	3116
255.13386	5.4	2681
255.23018	21.7	2654
255.97649	6.9	21024
256.05813	3.7	2247
256.06985	2.3	1751
256.07696	3.2	1611
256.11771	3.8	24444
256.13030	5.4	1820
256.26204	21.9	8303
256.81226	1.2	1052
256.97227	6.0	3305
256.97913	6.9	2431
257.11305	3.3	1961
257.12097	3.8	3699
257.14820	9.8	3466
257.14887	9.8	6492
257.22498	18.0	3094
257.22522	20.5	5296
257.97479	6.9	2841
258.01971	3.5	5212
258.01974	3.1	2712
258.07365	5.0	11903
258.10725	2.2	2730
258.89814	1.1	2267
259.07701	5.0	1366
259.09165	1.6	3463
259.16472	11.0	2759
259.22481	21.0	3497
260.14954	3.0	26498
260.95525	7.8	2595
261.14738	23.8	7891
261.15237	3.0	3117
262.03840	2.3	6136
262.12822	2.5	2203
262.12837	2.4	3145
262.12910	2.3	17090
262.16380	3.5	2656
262.16467	3.2	1627
262.16488	3.5	41040
263.10190	7.8	5562
263.13225	2.3	1204
263.16817	3.5	6006
264.02585	5.8	3902
264.93287	7.4	8882
264.98646	6.2	1673
265.05846	4.2	3147
265.11701	7.2	2769
265.11833	7.2	15387
265.11854	7.1	478482
266.10210	8.4	2860
266.12119	7.1	83929
266.93002	7.4	2104
267.07398	1.5	2450
267.10944	2.5	1472
267.10972	2.9	1354
267.11001	2.6	1805
267.11047	2.3	1453
267.11056	2.8	1826
267.11067	2.4	1473
267.12337	7.0	7004
267.13290	3.9	1609
267.13391	10.1	19079
268.13701	10.1	2469
268.94498	1.5	1368
268.94601	1.9	3724
268.94646	2.0	4811
269.08955	4.3	5089
269.12448	1.8	22288
269.92500	1.1	1519
270.10883	4.5	3099
270.12805	1.8	2557
270.13304	5.7	2068
271.07971	10.0	2548
271.09164	3.6	3585
271.16459	11.8	9990
271.20472	14.8	3914
271.26198	25.1	3964
