mz	rt	intensity
836.424813	9.68	80
355.696091	9.72	134
372.724945	9.72	267
375.695237	9.72	214
382.683247	9.72	187
383.187292	9.72	187
384.202875	9.72	134
393.187937	9.72	487
403.693176	9.72	160
404.696218	9.72	187
405.717227	9.72	160
408.233983	9.72	80
416.216474	9.72	107
417.702224	9.72	187
417.733988	9.72	25.74
420.20369	9.72	134
425.203651	9.72	107
425.700977	9.72	512
438.703949	9.72	107
439.231527	9.72	757
439.568311	9.72	518
439.900302	9.72	134
451.203845	9.72	185.54
451.26387	9.72	321
470.725762	9.72	1586
471.231681	9.72	871
474.25125	9.72	107
481.722304	9.72	241
504.231701	9.72	107
508.246619	9.72	379
523.291374	9.72	107
544.784028	9.72	160
559.314673	9.72	107
572.329528	9.72	107
588.313329	9.72	80
650.974878	9.72	383
658.300113	9.72	54.78
658.347239	9.72	412
659.350746	9.72	134
665.347297	9.72	134
667.305756	9.72	107
748.371661	9.72	160
862.391255	9.72	160
889.714982	9.72	267
890.052562	9.72	297
359.680143	9.77	107
362.670751	9.77	80
363.887932	9.77	160
373.202247	9.77	241
373.694066	9.77	134
405.198831	9.77	134
407.220591	9.77	107
410.76077	9.77	498
411.259778	9.77	294
416.712381	9.77	214
423.220962	9.77	299
423.718938	9.77	160
426.203109	9.77	214
426.229361	9.77	128.15
432.714128	9.77	107
433.731792	9.77	80
436.876872	9.77	187
438.212867	9.77	80.11
438.239485	9.77	107
440.709667	9.77	160
442.191921	9.77	160
442.21866	9.77	115.59
442.26917	9.77	35.7
445.221568	9.77	301
445.727513	9.77	160
449.233277	9.77	465
452.220804	9.77	160
464.240504	9.77	160
468.25527	9.77	241
469.270514	9.77	107
471.728667	9.77	445
487.270099	9.77	80
493.320621	9.77	160
498.238361	9.77	107
511.245115	9.77	187
525.767828	9.77	187
540.768265	9.77	294
541.271893	9.77	187
545.28539	9.77	30.51
545.334879	9.77	134
551.764351	9.77	214
574.582836	9.77	294
574.918165	9.77	294
581.349773	9.77	134
583.770943	9.77	80
584.285622	9.77	80
651.302978	9.77	401
658.84613	9.77	321
667.812139	9.77	107
673.35093	9.77	187
765.363569	9.77	107
890.388028	9.77	160
940.444367	9.77	160
350.208851	9.81	406
353.187245	9.81	107
360.185946	9.81	299
361.501275	9.81	134
361.831763	9.81	80
361.861326	9.81	31.22
363.556506	9.81	187
378.738962	9.81	214
379.236219	9.81	80
387.204972	9.81	99.01
387.221653	9.81	107
389.175614	9.81	214
395.711159	9.81	160
404.209721	9.81	80
410.703487	9.81	110
412.253986	9.81	187
443.740173	9.81	214
449.569402	9.81	187
451.731187	9.81	107
457.747819	9.81	53
459.732924	9.81	160
475.245567	9.81	160
477.740003	9.81	301
480.251215	9.81	246
480.75603	9.81	187
510.574267	9.81	187
526.270088	9.81	134
537.747373	9.81	160
541.748618	9.81	303
544.826898	9.81	214
562.304731	9.81	80
580.276314	9.81	107
651.645295	9.81	214
861.380329	9.81	241
912.389953	9.81	80
976.454101	9.81	214
976.961882	9.81	53
355.685683	9.86	80
356.193871	9.86	134
369.17953	9.86	80
374.196869	9.86	241
374.686244	9.86	187
386.213368	9.86	134
394.707688	9.86	107
401.711701	9.86	107
403.20765	9.86	80
403.230346	9.86	66.32
426.701592	9.86	134
441.207916	9.86	134
444.247263	9.86	187
444.877806	9.86	134
452.722363	9.86	160
453.21866	9.86	218.54
453.248739	9.86	476
453.751054	9.86	298
455.230291	9.86	80
456.706441	9.86	870
457.203893	9.86	503
468.758637	9.86	160
477.237485	9.86	187
494.765183	9.86	160
496.244303	9.86	326
497.244709	9.86	187
506.276717	9.86	187
540.285201	9.86	80
567.300616	9.86	160
975.946488	9.86	134
353.192311	9.9	107
354.181784	9.9	134
354.69156	9.9	160
373.278155	9.9	697
374.280621	9.9	160
378.211031	9.9	160
395.204548	9.9	241
417.237301	9.9	80
422.748428	9.9	134
423.706362	9.9	134
431.537525	9.9	187
433.21978	9.9	80
434.214168	9.9	107
454.257815	9.9	134
494.260451	9.9	134
496.748144	9.9	241
496.773336	9.9	137.01
537.284486	9.9	80
588.788616	9.9	134
602.34898	9.9	107
619.26983	9.9	80
635.801471	9.9	107
646.797903	9.9	160
684.362313	9.9	267
353.684304	9.95	107
359.170417	9.95	241
361.85676	9.95	214
363.721223	9.95	187
366.190884	9.95	134
368.180762	9.95	187
370.711101	9.95	107
375.53168	9.95	535
375.865426	9.95	489
383.520889	9.95	267
393.70331	9.95	690
401.209829	9.95	173.91
401.286242	9.95	1069
402.213247	9.95	102.32
402.244417	9.95	214
402.292102	9.95	321
404.192398	9.95	80
409.719533	9.95	267
412.205051	9.95	160
416.217389	9.95	134
417.701934	9.95	107
418.211522	9.95	107
423.238266	9.95	134
424.205058	9.95	134
425.705003	9.95	241
428.223178	9.95	160
429.211961	9.95	160
429.252941	9.95	118.88
430.199684	9.95	3013
430.534224	9.95	3481
430.721865	9.95	234
430.75412	9.95	86.49
430.865023	9.95	943
435.218676	9.95	107
436.879686	9.95	160
437.878541	9.95	187
438.603786	9.95	134
439.729431	9.95	160
442.716647	9.95	103.2
442.734484	9.95	107
449.234264	9.95	160
454.218988	9.95	80
457.706524	9.95	214
458.716651	9.95	107
458.749938	9.95	41.24
459.241982	9.95	107
459.266204	9.95	34.9
474.567753	9.95	374
474.90009	9.95	160
491.932404	9.95	214
492.771428	9.95	80
502.216474	9.95	134
502.248137	9.95	69.47
543.77001	9.95	80
563.796198	9.95	187
573.77499	9.95	107
615.269798	9.95	134
634.328326	9.95	80
636.371399	9.95	267
644.329897	9.95	557
644.797862	9.95	2211
645.29664	9.95	1630
645.794828	9.95	729
646.296642	9.95	298
652.325221	9.95	134
655.312698	9.95	295
656.293391	9.95	214
663.308488	9.95	80
665.325898	9.95	134
665.355053	9.95	55.01
666.802658	9.95	160
671.755324	9.95	80
712.353069	9.95	134
722.283941	9.95	80
351.685751	9.99	241
357.181652	9.99	93.35
357.219036	9.99	187
357.705537	9.99	134
360.68754	9.99	160
362.690397	9.99	107
364.670755	9.99	134
371.095847	9.99	134
371.203636	9.99	187
381.192502	9.99	325
383.856411	9.99	187
390.188396	9.99	848
401.707975	9.99	134
427.215105	9.99	80
429.889638	9.99	1122
437.208701	9.99	347
437.545133	9.99	267
438.225008	9.99	134
438.938088	9.99	160
440.227307	9.99	134
440.569947	9.99	450
448.51155	9.99	107
450.204477	9.99	134
